step,loss,lr,tokens_per_sec,total_tokens,elapsed_min
5,10.471469,0.00000075,28004,491520,0.29
10,10.455917,0.00000150,28663,983040,0.58
15,10.429835,0.00000225,28622,1474560,0.86
20,10.404505,0.00000300,28622,1966080,1.15
25,10.373833,0.00000375,28622,2457600,1.44
30,10.304636,0.00000450,28620,2949120,1.72
35,10.246587,0.00000525,28619,3440640,2.01
40,10.153983,0.00000600,28627,3932160,2.30
45,10.061176,0.00000675,28619,4423680,2.58
50,9.947719,0.00000750,28621,4915200,2.87
55,9.825395,0.00000825,28625,5406720,3.15
60,9.831319,0.00000900,28620,5898240,3.44
65,9.732053,0.00000975,28627,6389760,3.73
70,9.648677,0.00001050,28625,6881280,4.01
75,9.600728,0.00001125,28624,7372800,4.30
80,9.589704,0.00001200,28625,7864320,4.59
85,9.541910,0.00001275,28611,8355840,4.87
90,9.430795,0.00001350,28622,8847360,5.16
95,9.478495,0.00001425,28624,9338880,5.44
100,9.426163,0.00001500,28622,9830400,5.73
105,9.336665,0.00001575,28618,10321920,6.02
110,9.269635,0.00001650,28625,10813440,6.30
115,9.305270,0.00001725,28622,11304960,6.59
120,9.236389,0.00001800,28621,11796480,6.88
125,9.159301,0.00001875,28616,12288000,7.16
130,9.081767,0.00001950,28610,12779520,7.45
135,9.106102,0.00002025,28623,13271040,7.73
140,8.981331,0.00002100,28624,13762560,8.02
145,8.943541,0.00002175,28624,14254080,8.31
150,8.928078,0.00002250,28620,14745600,8.59
155,8.831491,0.00002325,28624,15237120,8.88
160,8.699551,0.00002400,28624,15728640,9.16
165,8.729429,0.00002475,28618,16220160,9.45
170,8.606103,0.00002550,28629,16711680,9.74
175,8.538293,0.00002625,28619,17203200,10.02
180,8.517127,0.00002700,28626,17694720,10.31
185,8.461665,0.00002775,28621,18186240,10.60
190,8.300246,0.00002850,28623,18677760,10.88
195,8.280161,0.00002925,28624,19169280,11.17
200,8.242432,0.00003000,28621,19660800,11.45
205,8.098396,0.00003075,28623,20152320,11.74
210,7.943744,0.00003150,28624,20643840,12.03
215,8.476417,0.00003225,28623,21135360,12.31
220,8.153109,0.00003300,28627,21626880,12.60
225,7.924885,0.00003375,28621,22118400,12.89
230,7.786350,0.00003450,28623,22609920,13.17
235,7.876701,0.00003525,28626,23101440,13.46
240,7.793147,0.00003600,28622,23592960,13.74
245,7.624054,0.00003675,28625,24084480,14.03
250,7.679674,0.00003750,28624,24576000,14.32
255,7.659981,0.00003825,28626,25067520,14.60
260,7.479050,0.00003900,28622,25559040,14.89
265,7.395774,0.00003975,28626,26050560,15.18
270,7.519250,0.00004050,28623,26542080,15.46
275,7.477801,0.00004125,28624,27033600,15.75
280,7.317752,0.00004200,28619,27525120,16.03
285,7.310153,0.00004275,28627,28016640,16.32
290,7.403097,0.00004350,28623,28508160,16.61
295,7.406839,0.00004425,28626,28999680,16.89
300,7.202254,0.00004500,28623,29491200,17.18
305,7.251484,0.00004575,28626,29982720,17.46
310,7.318489,0.00004650,28618,30474240,17.75
315,7.136430,0.00004725,28623,30965760,18.04
320,7.024386,0.00004800,28623,31457280,18.32
325,7.226998,0.00004875,28623,31948800,18.61
330,7.199968,0.00004950,28630,32440320,18.90
335,6.989529,0.00005025,28624,32931840,19.18
340,7.079653,0.00005100,28606,33423360,19.47
345,7.138068,0.00005175,28623,33914880,19.75
350,6.810218,0.00005250,28624,34406400,20.04
355,6.980521,0.00005325,28616,34897920,20.33
360,7.094362,0.00005400,28623,35389440,20.61
365,7.046172,0.00005475,28624,35880960,20.90
370,6.805943,0.00005550,28619,36372480,21.19
375,6.953453,0.00005625,28622,36864000,21.47
380,6.946558,0.00005700,28615,37355520,21.76
385,6.933198,0.00005775,28626,37847040,22.04
390,6.893690,0.00005850,28624,38338560,22.33
395,6.889199,0.00005925,28628,38830080,22.62
400,6.955798,0.00006000,28625,39321600,22.90
405,6.781163,0.00006075,28628,39813120,23.19
410,6.809856,0.00006150,28624,40304640,23.48
415,6.774212,0.00006225,28617,40796160,23.76
420,7.130948,0.00006300,28625,41287680,24.05
425,7.078973,0.00006375,28619,41779200,24.33
430,6.762959,0.00006450,28619,42270720,24.62
435,6.734897,0.00006525,28626,42762240,24.91
440,6.689699,0.00006600,28626,43253760,25.19
445,6.628172,0.00006675,28627,43745280,25.48
450,6.626869,0.00006750,28625,44236800,25.76
455,6.635034,0.00006825,28629,44728320,26.05
460,6.558598,0.00006900,28624,45219840,26.34
465,6.557913,0.00006975,28624,45711360,26.62
470,6.560533,0.00007050,28626,46202880,26.91
475,6.490371,0.00007125,28626,46694400,27.20
480,6.500690,0.00007200,28624,47185920,27.48
485,6.479004,0.00007275,28626,47677440,27.77
490,6.478634,0.00007350,28625,48168960,28.05
495,6.429909,0.00007425,28625,48660480,28.34
500,6.399187,0.00007500,28625,49152000,28.63
505,6.418932,0.00007575,26550,49643520,28.94
510,6.362891,0.00007650,28611,50135040,29.22
515,6.368774,0.00007725,28628,50626560,29.51
520,6.372933,0.00007800,28625,51118080,29.79
525,6.642683,0.00007875,28625,51609600,30.08
530,7.578054,0.00007950,28623,52101120,30.37
535,6.421409,0.00008025,28619,52592640,30.65
540,6.349749,0.00008100,28622,53084160,30.94
545,6.374009,0.00008175,28623,53575680,31.22
550,6.287971,0.00008250,28623,54067200,31.51
555,6.288387,0.00008325,28622,54558720,31.80
560,6.333953,0.00008400,28625,55050240,32.08
565,6.312271,0.00008475,28618,55541760,32.37
570,6.242125,0.00008550,28620,56033280,32.66
575,6.266124,0.00008625,28623,56524800,32.94
580,6.228862,0.00008700,28627,57016320,33.23
585,6.209427,0.00008775,28625,57507840,33.51
590,6.198083,0.00008850,28622,57999360,33.80
595,6.161114,0.00008925,28624,58490880,34.09
600,6.170840,0.00009000,28626,58982400,34.37
605,6.103618,0.00009075,28626,59473920,34.66
610,6.148112,0.00009150,28625,59965440,34.95
615,6.203273,0.00009225,28618,60456960,35.23
620,6.146851,0.00009300,28623,60948480,35.52
625,6.056429,0.00009375,28619,61440000,35.80
630,6.122958,0.00009450,28625,61931520,36.09
635,6.103701,0.00009525,28624,62423040,36.38
640,6.052377,0.00009600,28619,62914560,36.66
645,6.006286,0.00009675,28626,63406080,36.95
650,6.061081,0.00009750,28621,63897600,37.24
655,5.972851,0.00009825,28619,64389120,37.52
660,6.012619,0.00009900,28623,64880640,37.81
665,6.027930,0.00009975,28626,65372160,38.09
670,5.968285,0.00010050,28628,65863680,38.38
675,6.714198,0.00010125,28624,66355200,38.67
680,6.139373,0.00010200,28625,66846720,38.95
685,5.941109,0.00010275,28625,67338240,39.24
690,6.027396,0.00010350,28621,67829760,39.52
695,5.944460,0.00010425,28621,68321280,39.81
700,5.993754,0.00010500,28627,68812800,40.10
705,5.951573,0.00010575,28624,69304320,40.38
710,5.938467,0.00010650,28621,69795840,40.67
715,5.925656,0.00010725,28622,70287360,40.96
720,5.945048,0.00010800,28627,70778880,41.24
725,5.849209,0.00010875,28626,71270400,41.53
730,5.878062,0.00010950,28625,71761920,41.81
735,5.809679,0.00011025,28618,72253440,42.10
740,5.913045,0.00011100,28624,72744960,42.39
745,5.793192,0.00011175,28624,73236480,42.67
750,5.831089,0.00011250,28631,73728000,42.96
755,5.752085,0.00011325,28629,74219520,43.25
760,5.905564,0.00011400,28621,74711040,43.53
765,5.785863,0.00011475,28621,75202560,43.82
770,5.769408,0.00011550,28627,75694080,44.10
775,5.794651,0.00011625,28620,76185600,44.39
780,5.751616,0.00011700,28621,76677120,44.68
785,5.755244,0.00011775,28615,77168640,44.96
790,5.758463,0.00011850,28605,77660160,45.25
795,5.715082,0.00011925,28620,78151680,45.54
800,5.743459,0.00012000,28609,78643200,45.82
805,5.689845,0.00012075,28620,79134720,46.11
810,6.147500,0.00012150,28622,79626240,46.39
815,5.947652,0.00012225,28625,80117760,46.68
820,5.710940,0.00012300,28622,80609280,46.97
825,5.697826,0.00012375,28626,81100800,47.25
830,5.632268,0.00012450,28627,81592320,47.54
835,5.657957,0.00012525,28623,82083840,47.82
840,5.640628,0.00012600,28627,82575360,48.11
845,5.657055,0.00012675,28621,83066880,48.40
850,5.614174,0.00012750,28626,83558400,48.68
855,5.652274,0.00012825,28626,84049920,48.97
860,5.666705,0.00012900,28624,84541440,49.26
865,5.618044,0.00012975,28629,85032960,49.54
870,5.628502,0.00013050,28626,85524480,49.83
875,5.610154,0.00013125,28625,86016000,50.11
880,5.577486,0.00013200,28623,86507520,50.40
885,5.553442,0.00013275,28625,86999040,50.69
890,5.578438,0.00013350,28618,87490560,50.97
895,5.612449,0.00013425,28628,87982080,51.26
900,5.597879,0.00013500,28629,88473600,51.55
905,5.584740,0.00013575,28620,88965120,51.83
910,5.541015,0.00013650,28621,89456640,52.12
915,5.531837,0.00013725,28625,89948160,52.40
920,5.541503,0.00013800,28616,90439680,52.69
925,5.548574,0.00013875,28629,90931200,52.98
930,5.544475,0.00013950,28629,91422720,53.26
935,5.659530,0.00014025,28626,91914240,53.55
940,5.806904,0.00014100,28623,92405760,53.83
945,5.552266,0.00014175,28628,92897280,54.12
950,5.505557,0.00014250,28625,93388800,54.41
955,5.482441,0.00014325,28618,93880320,54.69
960,5.463194,0.00014400,28624,94371840,54.98
965,5.404308,0.00014475,28626,94863360,55.27
970,5.420289,0.00014550,28619,95354880,55.55
975,5.432566,0.00014625,28622,95846400,55.84
980,5.440072,0.00014700,28620,96337920,56.12
985,5.393575,0.00014775,28618,96829440,56.41
990,5.425250,0.00014850,28622,97320960,56.70
995,5.410676,0.00014925,28627,97812480,56.98
1000,5.513990,0.00015000,28621,98304000,57.27
1005,5.376002,0.00015075,28514,98795520,57.56
1010,5.396350,0.00015150,28622,99287040,57.84
1015,5.387669,0.00015225,28620,99778560,58.13
1020,5.367726,0.00015300,28624,100270080,58.42
1025,5.330078,0.00015375,28621,100761600,58.70
1030,5.337440,0.00015450,28624,101253120,58.99
1035,5.305104,0.00015525,28624,101744640,59.27
1040,5.328784,0.00015600,28623,102236160,59.56
1045,5.295908,0.00015675,28623,102727680,59.85
1050,5.290124,0.00015750,28626,103219200,60.13
1055,5.250989,0.00015825,28624,103710720,60.42
1060,5.287134,0.00015900,28623,104202240,60.70
1065,5.193792,0.00015975,28626,104693760,60.99
1070,5.277146,0.00016050,28625,105185280,61.28
1075,5.249341,0.00016125,28619,105676800,61.56
1080,5.179318,0.00016200,28622,106168320,61.85
1085,5.271706,0.00016275,28625,106659840,62.14
1090,5.658643,0.00016350,28628,107151360,62.42
1095,5.403214,0.00016425,28624,107642880,62.71
1100,5.263681,0.00016500,28627,108134400,62.99
1105,5.227395,0.00016575,28624,108625920,63.28
1110,5.172312,0.00016650,28625,109117440,63.57
1115,5.298502,0.00016725,28627,109608960,63.85
1120,5.154607,0.00016800,28629,110100480,64.14
1125,5.274158,0.00016875,28626,110592000,64.43
1130,5.154171,0.00016950,28628,111083520,64.71
1135,5.218396,0.00017025,28628,111575040,65.00
1140,5.238784,0.00017100,28627,112066560,65.28
1145,5.146166,0.00017175,28627,112558080,65.57
1150,5.184144,0.00017250,28628,113049600,65.86
1155,5.133779,0.00017325,28620,113541120,66.14
1160,5.133994,0.00017400,28620,114032640,66.43
1165,5.196253,0.00017475,28626,114524160,66.71
1170,5.111072,0.00017550,28625,115015680,67.00
1175,5.128381,0.00017625,28625,115507200,67.29
1180,5.098301,0.00017700,28629,115998720,67.57
1185,5.116787,0.00017775,28626,116490240,67.86
1190,5.172087,0.00017850,28622,116981760,68.15
1195,5.114745,0.00017925,28622,117473280,68.43
1200,5.122534,0.00018000,28625,117964800,68.72
1205,5.087752,0.00018075,28619,118456320,69.00
1210,5.106269,0.00018150,28624,118947840,69.29
1215,5.027256,0.00018225,28627,119439360,69.58
1220,5.123599,0.00018300,28621,119930880,69.86
1225,5.022046,0.00018375,28623,120422400,70.15
1230,5.063195,0.00018450,28622,120913920,70.44
1235,4.947498,0.00018525,28624,121405440,70.72
1240,6.024463,0.00018600,28628,121896960,71.01
1245,5.193306,0.00018675,28625,122388480,71.29
1250,5.074764,0.00018750,28621,122880000,71.58
1255,5.040501,0.00018825,28627,123371520,71.87
1260,5.082384,0.00018900,28627,123863040,72.15
1265,4.992061,0.00018975,28627,124354560,72.44
1270,5.002120,0.00019050,28624,124846080,72.72
1275,5.009825,0.00019125,28623,125337600,73.01
1280,4.920311,0.00019200,28618,125829120,73.30
1285,5.012780,0.00019275,28623,126320640,73.58
1290,5.032720,0.00019350,28625,126812160,73.87
1295,4.962749,0.00019425,28621,127303680,74.16
1300,5.021221,0.00019500,28620,127795200,74.44
1305,4.958175,0.00019575,28621,128286720,74.73
1310,4.990554,0.00019650,28621,128778240,75.01
1315,4.991244,0.00019725,28623,129269760,75.30
1320,4.920865,0.00019800,28622,129761280,75.59
